Page,,"Estimate, hrs",,,,
,,Min,ML,Max,PERT,
Discovery,,,,,,
Stakeholders Interviews,"includes detailed walkthrough of how users are using the app, for what purposes, what is the future vision etc",6,8,12,8,
Feedback Processing,review the feedback from customer support etc,4,6,10,6,
Competitor research,,6,9,12,9,
User Interviews,"focus on detection manager, dashboards and report (5-10 calls, +preparation and processing)",7,12,14,12,
Information Arcitecture,"for all 3 products, may need to redefine structure of the products a bit",6,9,12,9,
Product documentation,"detatiled description of the main screens (what info should maintain, what can be removed, what user should be able to do on the page, any future improvemnets to be considered) ",14,16,20,16,
Design,,,,,,
Moodboard,,2,4,5,4,
UI concepts,,14,18,23,18,
Main elements design,"login, navigation, notifications",14,21,28,21,
Design System,,24,32,44,33,
AML,,,,,,
Dashboard,,14,21,28,21,
Detection Manager AI Proto,,8,14,20,14,
Detection Manager UI,,32,48,64,48,
Case Manager,,1,2,3,2,
Customer Card,,14,24,36,24,
Merchant Manager,,1,2,3,2,
Account Card,,7,14,21,14,
Transaction Manager,,5,8,12,8,
Informations,,16,24,32,24,
Config,defining rules and scenarios for detections,32,48,64,48,
Settings,,32,48,64,48,
Audit,,5,8,12,8,
ML,,14,21,28,21,
Report Manager,,16,24,32,24,
Admin side,"manage user, groups, access profiles",24,32,48,33,
KYC Manager,same features as the AML,20,30,50,32,details to be provided
UCM,detailed scope TBD,40,50,90,55,
Screening,,,,,,
Detection Manager,,24,32,48,33,
List Manager,,7,14,21,14,
Advanced Settings,,24,32,48,33,
Format Manager,,5,8,12,8,
DB Manager,,5,8,12,8,
Swift Manager,,4,6,10,6,
ISO Manager,,5,8,12,8,
Workflow Approval Configuration,,7,14,21,14,
MQ Manager,,7,14,21,14,
File Based Archive,,3,4,6,4,
Event Viewer,,3,4,6,4,
Report Manager,similar as in AML system,1,2,3,2,
Stripping detector manager,,4,6,10,6,
License,,5,8,12,8,
Dashboard,similar as in AML system,1,2,3,2,
AI module,,8,12,16,12,
User Testing,"for detection manager. 1st iteration would be with AI-built prototype, then with the actual UI",10,15,20,15,
Refinements afrer User Testing,,5,8,12,8,
Operational,,,,,,
PM,,40,60,80,60,
Communication,,60,80,120,83,
TOTAL ,,606,890,1280,908,
Total Cost ,,$30 300,$44 500,$64 000,$45 383,
